"english","dutch"
"Operation cancelation conditions","Voorwaarden voor uitschakeling van de werking"
"Operation display of steering wheel operation support","Weergave van werking van stuurondersteuning"
"Operation indicator light","Indicatielampje voor werking"
"Operation noises and vibrations","Geluid en trillingen bij werking"
"Operation of the RCTA function","Werking van de RCTA-functie"
"Operation signal (emergency flashers)","Signaal bij werking (alarmknipperlichten)"
"Operation signals","Signalen bij acties"
"Operation status of the driving assist systems","Werkingsstatus van de rijhulpsystemen"
"Operational symptoms","Symptomen in de werking"
"Optical mirror mode","Optische spiegelmodus"
"Option screen switch","Schakelaar voor optiescherm"
"orange","oranje"
"Other interior features","Andere interieurvoorzieningen"
"Other road signs","Overige verkeersborden"
"Outer foot lights","Buitenste voetlichten"
"Output restrictions reference display","Weergave van informatie over vermogensbeperkingen"
"outside rear view mirror defoggers","Ontwaseming voor de buitenspiegels"
"Outside rear view mirror indicator brightness","Lichtsterkte van de richtingaanwijzers op de buitenspiegels"
"Outside rear view mirror indicator visibility","Zichtbaarheid van de richtingaanwijzers op de buitenspiegels"
"Outside rear view mirror indicators","Richtingaanwijzers op de buitenspiegels"
"Outside rear view mirror switches","Schakelaars voor buitenspiegels"
"Outside rear view mirrors","Buitenspiegels"
"Outside rear view mirrors display","Weergave buitenspiegels"
"Outside temperature","Buitentemperatuur"
"Outside temperature display","Weergave van buitentemperatuur"
"Outside/recirculated air mode","Modus buitenlucht/gerecirculeerde lucht"
"Outside/recirculated air mode switch","Modusschakelaar buitenlucht/gerecirculeerde lucht"
"Overall height","Totale hoogte"
"Overall length","Totale lengte"
"Overall width","Totale breedte"
"Overheating","Oververhitting"
"Overtake prevention","Blokkeren van inhalen"
"Overtaking prevention function","Functie voor het blokkeren van inhalen"
"P position switch","Schakelaar voor de P-stand"
"Paddle shift switch","Schakelflipper"
"Paddle shift switches","Schakelflippers"
"Paddle switch","Schakelflipper"
"Paddle switches","Flippers"
"Panoramic view monitor","Scherm voor panoramische weergave"
"Panoramic View Monitor","Scherm voor panoramische weergave"
"Parked vehicles","Geparkeerde voertuigen"
"Parking brake","Parkeerrem"
"Parking brake automatic lock function","Functie voor automatisch inschakelen van parkeerrem"
"Parking brake automatic release function","Functie voor automatisch uitschakelen van parkeerrem"
"Parking brake engaged warning buzzer","Waarschuwingszoemer parkeerrem ingeschakeld"
"Parking brake indicator","Indicatielampje parkeerrem"
"Parking brake indicator light","Indicatielampje parkeerrem"
"Parking brake operation","Werking van de parkeerrem"
"Parking brake operation sound","Werkingsgeluid van de parkeerrem"
"Parking brake switch","Parkeerremschakelaar"
"Parking Support Brake","Remmen tijdens parkeren"
"Parking the vehicle","Parkeren"
"Parking the vehicle/starting the EV system","Parkeren van de auto/starten van het EV-systeem"
"Partial","Gedeeltelijk"
"Particle filter","Deeltjesfilter"
"Parts and tools","Onderdelen en gereedschap"
"Passenger detection functions","Functies voor passagierdetectie"
"passenger seat only","alleen passagiersstoel"
"Passing other vehicles","Passeren van andere voertuigen"
"PCS-linked control","PCS-gekoppelde controle"
"PCS-linked seat belt pretensioner control","Regeling van gordelspanner bij veiligheidsgordel gekoppeld aan PCS"
"PCS warning light","PCS-waarschuwingslampje"
"PDA indicator","PDA-indicatielampje"
"Pedal clearance","Hoogte van pedaal boven vloer"
"Pedal free play","Vrije slag van pedaal"
"Pedestrian detection icon","Pictogram voor voetgangerdetectie"
"Pedestrians","Voetgangers"
"Pedestrians Rear of the Vehicle","Voetgangers aan achterkant van de auto"
"People suffering illness","Mensen met een aandoening"
"Permanent magnet synchronous motor","Synchroonmotor met permanente magneet"
"Permissible drawbar load","Toegestane belasting van de trekbalk"
"Personal computers","Pc’s"
"Personal lights","Persoonlijke verlichting"
"Persons who are fatigued","Vermoeide personen"
"Persons with sensitive skin","Personen met een gevoelige huid"
"personuvernd@toyota.is","personuvernd@toyota.is"
"personvern@toyota.no","personvern@toyota.no"
"Pictorial index","Afbeeldingsindex"
"PKSB (Parking Support Brake) function","Functie PKSB (remmen tijdens parkeren)"
"PKSB (Parking Support Brake) system","PKSB-systeem (remmen tijdens parkeren)"
"Plated portions","Onderdelen bedekt met platen"
"Plug","Stekker"
"Plug-cord","Netsnoer"
"Points to remember","Aandachtspunten"
"Poland","Polen"
"Pollen removal type","Pollenfilter"
"Poor handling","Slechte rijeigenschappen"
"Pop-up display","Pop-upscherm"
"Portable game systems","Draagbare spelcomputers"
"Portugal","Portugal"
"Position memory switches","Schakelaars voor positiegeheugen"
"Positioning a floor jack","Plaatsen van een krik"
"Positive (+) battery terminal","Pluspool (+) van de batterij"
"Possibility of blowouts resulting from overheated tires","Risico op klapbanden door oververhitting"
"Power (ignition) switch","Contactschakelaar"
"Power area","Vermogensgedeelte"
"Power back door","Elektrisch bedienbare bagageklep"
"Power back door opener and closer","Mechanisme voor openen en sluiten van elektrisch bedienbare bagageklep"
"Power back door opener and closer switch","Schakelaar voor openen en sluiten van elektrisch bedienbare bagageklep"
"Power back door opening position","Openingsstand elektrisch bedienbare bagageklep"
"Power back door operating conditions","Voorwaarden voor werking van de elektrisch bedienbare bagageklep"
"Power back door operation","Werking van elektrisch bedienbare bagageklep"
"Power back door switch","Schakelaar elektrisch bedienbare bagageklep"
"Power consumption","Energieverbruik"
"Power consumption display","Weergave energieverbruik"
"Power control unit","Eenheid voor vermogensregeling"
"Power control unit coolant","Koelvloeistof van de eenheid voor vermogensregeling"
"Power control unit coolant level","Koelvloeistofniveau van eenheid voor vermogensregeling"
"Power control unit coolant reservoir","Koelvloeistofreservoir voor de eenheid voor vermogensregeling"
"Power easy access system","Elektrisch systeem voor gemakkelijke toegang"
"Power indicator","Voedingsindicatielampje"
"Power meter","Vermogensmeter"
"Power mode","Vermogensmodus"
"Power mode indicator","Indicatielampje vermogensmodus"
"Power outlet","Voedingsaansluiting"
"Power plug","Stekker"
"Power seat","Elektrisch bedienbare stoel"
"Power sources","Voedingsbronnen"
"Power sources precautions","Voorzorgsmaatregelen voor voedingsbronnen"
"Power sources that can be used","Te gebruiken voedingsbronnen"
"Power steering","Stuurbekrachtiging"
"Power switch","Contactschakelaar"
"Power switch illumination","Contactschakelaarverlichting"
"Power window","Elektrisch bedienbare ruit"
"Power window lock switch","Schakelaar voor vergrendeling van elektrisch bedienbare ruiten"
"Power window precautions","Voorzorgsmaatregelen voor elektrisch bedienbare ruiten"
"Power window switch","Schakelaar voor elektrisch bedienbare ruiten"
"Power window switches","Schakelaars voor elektrisch bedienbare ruiten"
"Power windows","Elektrisch bedienbare ruiten"
"Power windows open warning buzzer","Waarschuwingszoemer voor geopende elektrisch bedienbare ruiten"
"Pre-collision brake assist","Remhulp van de botswaarschuwing"
"Pre-collision brake control","Remregeling van de botswaarschuwing"
"pre-collision braking","Remmen door de botswaarschuwing"
"Pre-collision braking","Remmen door de botswaarschuwing"
"Pre-collision system","botswaarschuwingssysteem"
"Pre-collision warning","botswaarschuwing"
"Pre-driving check","Controle voordat u gaat rijden"
"Precaution regarding the rear bumper","Waarschuwing met betrekking tot de achterbumper"
"Precautions against towing","Voorzorgsmaatregelen voor trekken"
"Precautions against winter season","Voorzorgsmaatregelen voor de winter"
"Precautions for the emergency tire puncture repair kit","Voorzorgsmaatregelen voor de noodreparatieset voor een lekke band"
"Precautions for use of the sealant","Voorzorgsmaatregelen voor gebruik van het afdichtmiddel"
"Preceding vehicle","Voorgaand voertuig"
"Preceding vehicle deceleration assistance","Hulp bij het afremmen vóór het voorgaande voertuig"
"Pregnant women","Zwangere vrouwen"
"Preparation for winter","Voorbereiding op de winter"
"Preparing and checking before winter","Voorbereiding en controles vóór de winter"
"Press","Indrukken"
"Press and hold","Ingedrukt houden"
"Preventing accidental operation","Onbedoelde bediening voorkomen"
"Preventing damage to leather surfaces","Schade aan leren oppervlakken voorkomen"
"privacy@tgb.toyota.co.uk","privacy@tgb.toyota.co.uk"
"privacy@toyota.be","privacy@toyota.be"
"Proactive Driving Assist","proactieve rijhulp"
"Procedures","Procedures"
"Proper inflation is critical to save tire performance","Een goede bandenspanning is essentieel om te zorgen dat de banden goed blijven presteren"
"Properly sitting in the seat","Op de juiste manier op de stoel zitten"
"Protecting the vehicle interior","Het interieur van de auto beschermen"
"Quantity","Aantal"
"Quick charge","Snelladen"
"R1","R1"
"R2","R2"
"R2X","R2X"
"R3","R3"
"Radar cruise control","Cruisecontrol met radar"
"Radar sensor","Radarsensor"
"Radar sensor cover","Radarsensorkap"
"Radar sensor cover with a heater","Radarsensorkap met verwarming"
"Radar sensors","Radarsensoren"
"Radiant heaters","Stralingsverwarming"
"Radiator","Radiateur"
"Radiator and condenser","Radiateur en condensor"
"Rain","Regen"
"Rain-sensing operation","Werking met regensensor"
"Rain-sensing windshield wipers","Ruitenwissers met regensensor"
"Rain-tight socket","Waterdichte contactdoos"
"Raindrop sensor","Regensensor"
"Rapid charging function","Functie voor snelladen"
"RCTA (Rear Crossing Traffic Alert) function","RCTA-functie (waarschuwing bij achterlangs kruisend verkeer)"
"RCTA buzzer","RCTA-zoemer"
"RCTA function","RTCA-functie"
"RCTA function detection areas","Detectiegebieden van de RCTA-functie"
"Re-enabling the Parking Support Brake","Het remmen tijdens parkeren weer inschakelen"
"Reading this manual","Deze handleiding leiden"
"Rear","Achter"
"Rear camera","Camera aan de achterkant van de auto"
"Rear Camera Detection","detectie met camera achter"
"Rear center seat","Stoel middenachter"
"Rear center sensor","Sensor achter in het midden"
"Rear center sensor detection","Detectie van sensoren middenachter"
"Rear center sensors","Sensoren middenachter"
"Rear corner and rear center sensors","Sensoren achterhoeken en middenachter"
"Rear corner sensor detection","Detectie van sensoren achterhoeken"
"Rear corner sensors","Sensoren achterhoeken"
"Rear Cross Traffic Alert","Waarschuwing bij achterlangs kruisend verkeer"
"Rear Crossing Traffic Alert","Waarschuwing bij achterlangs kruisend verkeer"
"Rear distance guide line","Afstandsgeleidingslijnen achter"
"Rear door child-protector lock","Kindersloten van de achterportier"
"Rear door child-protectors","Kindersloten van de achterportieren"
"Rear eAxle","eAxle achter"
"Rear eAxle fluid type","Vloeistoftype voor eAxle achter"
"Rear electric motor","Elektromotor achter"
"Rear fog light","Mistachterlicht"
"Rear fog light indicator","Indicatielampje mistachterlicht"
"Rear fog lights","Mistlichten achter"
"Rear interior light","Binnenverlichting achter"
"Rear interior light and footwell lights","Interieurverlichting achter en voetverlichting"
"Rear interior lights","Interieurverlichting achter"
"Rear outer seats","Buitenste achterstoelen"
"Rear passengers’ seat belt reminder lights","Herinneringslampjes veiligheidsgordels achterpassagiers"
"Rear passengers’ seat belt warning buzzer","Waarschuwingszoemer veiligheidsgordels achterpassagiers"
"Rear pillars","Achterstijlen"
"Rear seat heater switches","Schakelaars voor stoelverwarming achter"
"Rear seat reminder","Herinnering achterstoelen"
"Rear seat reminder function","Functie voor herinnering achterstoelen"
"Rear seats","Achterstoelen"
"Rear side radar sensors","Radarsensoren achter"
"Rear side sensors","Zijsensoren achter"
"Rear Vehicle Approaching Indication","Indicatie naderend voertuig van achteren"
"Rear view & dual side views/wide rear view & dual side views","Zicht aan achterzijde en dubbel zijzicht/breed zicht aan achterzijde en dubbel zijzicht"
"Rear view & dual side views/wide rear view & dual side views display","Weergave Zicht aan achterzijde en dubbel zijzicht/breed zicht aan achterzijde en dubbel zijzicht"
"Rear view & panoramic view","Zicht aan achterzijde en panoramazicht"
"Rear view & panoramic view/wide rear view & panoramic view display","Zicht aan achterzijde en panoramazicht/breed zicht aan achterzijde en panoramazichtweergave"
"Rear view mirror","Achteruitkijkspiegel"
"Rear window","Achterruit"
"Rear window and outside rear view mirror defogger switch","Schakelaar voor ontwaseming achterruit en buitenspiegels"
"Rear window and outside rear view mirror defoggers switch","Schakelaar voor ontwaseming achterruit en buitenspiegels"
"Rear window defogger","Achterruitverwarming"
"Rearward-facing infant seat","Naar achteren gericht babyzitje"
"Recall procedure","Procedure voor oproepen"
"Recalled functions","Opgeroepen functies"
"Recalling the driving position using the memory recall function","De rijpositie oproepen met de geheugenfunctie"
"Receptacles containing gasoline","Verpakkingen met benzine"
"Recharging cellular phones or cordless phones","Opladers van mobiele telefoons of draadloze telefoons"
"Recharging function","Functie voor opnieuw opladen"
"Recommended child restraint system","Aanbevolen kinderzitje"
"Recommended child restraint systems information","Informatie over aanbevolen kinderzitjes"
"Recording procedure","Procedure voor opslaan"
"Recovering procedure","Procedure voor het bevrijden van de auto"
"Reduced-height, forward-facing child restraint systems","Naar voren gerichte kinderzitjes met beperkte hoogte"
"Reduced-size, rearward-facing child restraint systems","Naar achteren gerichte kinderzitjes van beperkt formaat"
"Reduced driving comfort and poor handling","Verminderd rijcomfort en slechte rijeigenschappen"
"Reduced effectiveness of the EPS system","Verminderde effectiviteit van het EPS-systeem (elektrische stuurbekrachtiging)"
"Reduced electricity consumption efficiency","Hoger elektriciteitsverbruik"
"Reduced safety","Verminderde veiligheid"
"Reduced tire life due to wear","Meer slijtage en kortere levensduur van de banden"
"Reference","Meer informatie"
"Regeneration restrictions reference display","Weergave van informatie over regeneratiebeperkingen"
"Regenerative braking","Regeneratief remmen"
"regenerative braking power indicator","indicatielampje regeneratief remvermogen"
"Registering ID codes","Registreren van id-codes"
"Registering procedure","Registratieprocedure"
"Registering the charging schedule","Instellen van de laadplanning"
"Regulations on the use of tire chains","Voorschriften voor het gebruik van sneeuwkettingen"
"relatii.clienti@toyota.ro","relatii.clienti@toyota.ro"
"Relative speed between your vehicle and object","Relatieve snelheid tussen uw auto en het object"
"Reminder light and buzzer","Herinneringslampje en -zoemer"
"Remote Air Conditioning System","Aircosysteem op afstand"
"Remote Air Conditioning System automatic shut-off","Automatische uitschakeling van het aircosysteem op afstand"
"Remote switch","Afstandsschakelaar"
"Removing a child restraint system installed with a seat belt","Verwijderen van een kinderzitje bevestigd met een veiligheidsgordel"
"Removing the air conditioning filter","Het aircofilter verwijderen"
"Removing the head restraints","Verwijderen van de hoofdsteunen"
"Removing the luggage cover","Verwijderen van de hoedenplank"
"Repairing or replacing snow tires","Repareren of vervangen van winterbanden"
"Repeated setting","Herhalingsinstelling"
"Replacing","Verwisselen"
"Replacing a flat tire","Een wiel met een lekke band verwisselen"
"Replacing light bulbs","Lampjes vervangen"
"Replacing method","Vervangingsmethode"
"Replacing the tire","Een wiel verwisselen"
"Replacing tire pressure warning valves and transmitters","Ventielen en zenders voor waarschuwing voor de bandenspanning vervangen"
"Replacing tires","Banden vervangen"
"Replacing wheels","Velgen vervangen"
"Reservoir","Reservoir"
"Reservoir cap","Dop van reservoir"
"Reset/Display customizable items","Resetten/aanpasbare onderdelen weergeven"
"Residential area beginning","Begin woonerf"
"Residential area ending","Einde woonerf"
"Restraining sudden start","Tegengaan van plotselinge bewegingen"
"Retaining hooks","Bevestigingshaken"
"Return button","Knop Terug"
"Return switch","Terugkeerknop"
"Return to the previous screen","Terug naar het vorige scherm"
"Returning the rear seatbacks","Terugklappen van de rugleuningen van de achterstoelen"
"Reverse estimated course lines","Geschatte richtingslijnen bij achteruitrijden"
"Reverse warning buzzer","Waarschuwingszoemer achteruitrijden"
"Reversing","Achteruit rijden"
"Riding with children","Rijden met kinderen aan boord"
"Right","Rechts"
"Right-hand drive vehicles","Auto’s met stuur rechts"
"Right-hand side temperature control switch","Schakelaar voor temperatuurregeling rechts"
"Right lateral-facing infant seat","Naar rechts gericht babyzitje"
"Right side instrument panel","Instrumentenpaneel rechts"
"Right turn","Rechts afslaan"
"Road accident cautions","Waarschuwingen bij verkeersongevallen"
"Road condition","Rijomstandigheid"
"Road Sign Assist","verkeersbordherkenning"
"Romania","Roemenië"
"Roof luggage carrier","Dakbagagedrager"
"Roof side rails","Zijrails van het dak"
"rope hook","touwhaak"
"Rotary shifter","Draaiknop voor versnellingskeuze"
"Rotary shifter display","Weergave van draaiknop voor versnellingskeuze"
"Rotating tires","Wielen omwisselen"
"Rough road surfaces","Slechte wegen"
"Route guidance to destination","Routegeleiding naar bestemming"
"Routine inspection","Routine-inspectie"
"Routine tire inflation pressure checks","Routinecontrole van de bandenspanning"
"S-FLOW","S-FLOW"
"S PEDAL DRIVE indicator","Indicatielampje S-PEDAL DRIVE"
"S PEDAL DRIVE switch","Schakelaar S-PEDAL DRIVE"
"Safe driving support function","Functie ter ondersteuning van veilig rijden"
"Safe Exit Assist","assistentie voor veilig uitstappen)"
"Safe exit assist operation","Werking van assistentie voor veilig uitstappen"
"Safety function","Beveiliging"
"Safety glasses","Veiligheidsbril"
"Scheduled maintenance","Gepland onderhoud"
"Scrapping of your SUBARU","Afvoeren van uw SUBARU"
"Searching by installation position","Zoeken op installatiepositie"
"Searching by name","Zoeken op naam"
"Searching by symptom or sound","Zoeken op symptoom of geluid"
"Searching by title","Zoeken op titel"
"seat adjustment","afstelling van stoelen"
"Seat adjustment caution","Waarschuwing bij afstelling van stoelen"
"Seat belt","Veiligheidsgordel"
"Seat belt attachment","Bevestiging van veiligheidsgordel"
"Seat belt damage and wear","Beschadiging en slijtage van een veiligheidsgordel"
"Seat belt precautions","Voorzorgsmaatregelen voor veiligheidsgordels"
"Seat belt pretensioner system","Gordelspannersysteem"
"Seat belt pretensioners","Gordelspanners"
"Seat belt pretensioners and force limiters","Gordelspanners en gordelkrachtbegrenzers"
"Seat belt regulations","Voorschriften voor veiligheidsgordels"
"Seat belt reminder light","Herinneringslampje veiligheidsgordel"
"Seat belt shoulder anchor height","Hoogte van schoudergordelklem"
"Seat belts","Veiligheidsgordels"
"Seat cushion (front) angle adjustment switch","Schakelaar voor de hoekafstelling van het zitkussen (voor)"
"Seat heater switches","Schakelaars voor stoelverwarming"
"Seat heaters","Stoelverwarming"
"Seat heaters operation","Werking van stoelverwarming"
"Seat position adjustment lever","Hendel voor afstelling van stoelpositie"
"Seat position adjustment switch","Schakelaar voor afstelling van stoelpositie"
"Seat position memory","Stoelpositiegeheugen"
"Seat position number","Nummer van stoelpositie"
"Seat upholstery","Stoelbekleding"
"Seatback angle adjustment lever","Hendel voor afstelling van hoek van rugleuning"
"Seatback angle adjustment switch","Schakelaar voor afstelling van hoek van rugleuning"
"Seating position","Stoelpositie"
"Seating position suitable for lateral fixture","Stoelpositie geschikt voor laterale bevestiging"
"Seating position suitable for universal belted","Stoelpositie geschikt voor universeel kinderzitje met gordel"
"Seats","Stoelen"
"Second position","Tweede stand"
"Secondary Collision Brake","Remmen tegen tweede botsing"
"Secondary Collision Brake automatic cancellation","Automatische uitschakeling van remmen tegen tweede botsing"
"Secondary Collision Brake operating conditions","Voorwaarden voor de werking van remmen tegen tweede botsing"
"Security feature","Beveiliging"
"Security indicator","Indicatielampje beveiliging"
"Selecting the driving mode","De rijmodus selecteren"
"Selecting tire chains","Sneeuwkettingen kiezen"
"Selecting wheel set","De wielset selecteren"
"Self-restoring coat","Zelfherstellende coating"
"Sensor","Sensor"
"Sensor detection information","Informatie over de sensordetectie"
"Server","Server"
"Service plug","Serviceaansluiting"
"Service responsible for handling access requests","Dienst verantwoordelijk voor behandeling van toegangsverzoeken"
"Set cooling and dehumidification function","Instellen van de koel- en ontvochtigingsfunctie"
"Setting","Instellen"
"Setting procedure","Instelprocedure"
"Setting/canceling the double locking system","Instellen/uitschakelen van het dubbel vergrendelingssysteem"
"Setting/canceling/stopping the alarm system","Instellen/uitschakelen/stoppen van het alarmsysteem"
"Settings","Instellingen"
"Settings display","Weergave van instellingen"
"Severe driving","Hevig rijden"
"Shaded high beam","Afgeschermd grootlicht"
"Shampooing the carpets","Met shampoo wassen van de vloerbedekking"
"Sharply-angled objects","Objecten met scherpe hoeken"
"Shift lever","Versnellingshendel"
"Shift lights","Schakelverlichting"
"Shift position","Versnellingsstand"
"Shift position indicator","Versnellingsindicator"
"Shift position linked door locking function","Aan versnellingsstand gekoppelde functie voor portiervergrendeling"
"Shift position linked door unlocking function","Aan versnellingsstand gekoppelde functie voor portierontgrendeling"
"Shift position operation","Schakelen"
"Shift position purpose and functions","Doel en functie van versnellingen"
"Short","Klein"
"Short beep","Korte piep"
"Side airbag operating conditions","Voorwaarden voor activering van de zijairbags"
"Side airbag precautions","Voorzorgsmaatregelen voor zijairbags"
"Side airbags","Zijairbags"
"Side and curtain shield airbags operating conditions","Voorwaarden voor activering van de zij- en gordijnairbags"
"Side and curtain shield airbags precautions","Voorzorgsmaatregelen voor zij- en gordijnairbags"
"Side chain","Zijketting"
"Side doors","Portieren"
"Side impact sensors","Botssensoren zijkant"
"Side mirrors","Zijspiegels"
"Side pillars","Zijstijlen"
"Side turn signal lights","Richtingaanwijzers zijkant"
"Side view & Rear view","Zijzicht en zicht aan achterzijde"
"Side view & Wide front view","Zijzicht en breed zicht aan voorzijde"
"Side view & Wide rear view","Zijzicht en breed zicht aan achterzijde"
"Side views","Zicht aan de zijkanten"
"Situation","Situatie"
"Situations in which the system may not operate properly","Situaties waarin het systeem mogelijk niet naar behoren werkt"
"Situations in which the tire pressure warning system may not operate properly","Situaties waarin het waarschuwingssysteem voor de bandenspanning mogelijk niet naar behoren werkt"
"Situations when it is necessary to contact dealers before towing","Situaties waarin u contact moet opnemen met een dealer voordat er wordt gesleept"
"Size","Formaat"
"Size class","Lengteklasse"
"Slip indicator","Slipindicatielampje"
"Slovenia","Slovenië"
"Slow","Langzaam"
"Slow charge","Langzaam laden"
"Small flathead screwdriver","Kleine platte schroevendraaier"
"Smart door unlocking","Slimme deurontgrendeling"
"Smart entry & start system","Smart Entry met startsysteem"
"Smart entry & start system indicator","Indicatielampje Smart Entry met startsysteem"
"Smart entry and start system","Smart Entry met startsysteem"
"Smart entry and start system indicator","Indicatielampje Smart Entry met startsysteem"
"Smart transmitter","Slimme afstandsbediening"
"Smart tuner","Slimme tuner"
"Snow plows","Sneeuwschuivers"
"Snow tires","Winterbanden"
"SNOW/DIRT mode","SNOW/DIRT-modus"
"SNOW/DIRT mode indicator","Indicatielampje SNOW/DIRT-modus"
"SNOW•DIRT Mode","Modus SNEEUW/ONVERHARD"
"SOC (State of Charge) gauge","Laadstatusmeter"
"Software update","Software-update"
"Solution","Oplossing"
"Spain","Spanje"
"Speaker","Luidspreker"
"Specification","Specificatie"
"Specifications","Specificaties"
"Speech command window operation","Werking van het spraakcommandovenster"
"Speed limit begins/Maximum speed zone begins","Begin van maximumsnelheid(szone)"
"Speed limit change notification","Melding wijziging snelheidslimiet"
"Speed limit ends/Maximum speed zone ends","Einde van maximumsnelheid(szone)"
"Speed limit related information","Informatie over snelheidslimiet"
"Speed limit road signs","Verkeersborden met een maximumsnelheid"
"Speed limit with supplemental mark","Snelheidslimiet met onderbord"
"Speed limiter","Snelheidsbegrenzer"
"Speed limiter indicator","Indicatielampje snelheidsbegrenzer"
"Speed limiter switch","Schakelaar voor snelheidsbegrenzer"
"Speed limiter with Road Sign Assist","Snelheidsbegrenzer met verkeersbordherkenning"
"Speed linked door locking function","Aan snelheid gekoppelde functie voor portiervergrendeling"
"Speed setting","Snelheidsinstelling"
"Speedometer","Snelheidsmeter"
"Spherical portion","Bolle gedeelte"
"Sport mode","Sportmodus"
"SRS airbag","SRS-airbag"
"SRS airbag deployment conditions","Voorwaarden voor activering van de SRS-airbags"
"SRS airbag precautions","Voorzorgsmaatregelen voor SRS-airbags"
"SRS airbag system","SRS-airbagsysteem"
"SRS airbag system components","Onderdelen van het SRS-airbagsysteem"
"SRS airbags","SRS-airbags"
"SRS curtain shield airbags","SRS-gordijnairbags"
"SRS driver airbag/front passenger airbag","SRS-airbag bestuurder/airbag voorpassagier"
"SRS front airbags","SRS-frontairbags"
"SRS front center airbag","SRS-frontairbag in het midden"
"SRS front center airbags","SRS-frontairbags in het midden"
"SRS front passenger airbag","SRS-airbag voor voorpassagier"
"SRS Front Seat Center AirBag","SRS-airbag midden tussen de voorstoelen"
"SRS knee airbag","SRS-knieairbag"
"SRS side airbags","SRS-zijairbags"
"SRS side and curtain shield airbags","SRS-zij- en SRS-gordijnairbags"
"SRS warning light","SRS-waarschuwingslampje"
"Standard","Norm"
"Starting off on a steep uphill","Heuvelopwaarts optrekken op een steile helling"
"Steering","Stuurinrichting"
"Steering icon","Stuurpictogram"
"Steering lock","Stuurslot"
"Steering lock function","Stuurslotfunctie"
"Steering lock system warning message","Waarschuwingsmelding van het stuurslotsysteem"
"Steering parts","Onderdelen van de stuurinrichting"
"Steering wheel","Stuur"
"Steps to take in an emergency","Te ondernemen stappen bij een noodsituatie"
"Sticker","Sticker"
"Stop","Stop"
"Stop hold phase","Stopvasthoudfase"
"Stop light indicator","Indicatielampje remlichten"
"Stop lights","Remlichten"
"stopped vehicles","stilstaande voertuigen"
"Stopping the vehicle","De auto tot stilstand brengen"
"Storage","Opslag"
"Storage feature","Opslagvoorziening"
"Storage location","Opslaglocatie"
"Storage precautions","Voorzorgsmaatregelen voor opslag"
"Strange noises related to suspension movement","Vreemde geluiden bij beweging van de ophanging"
"Strange noises related to the suspension system","Vreemde geluiden van de ophanging"
"Stuck","Vastzitten"
"SUBARU","SUBARU"
"SUBARU Care","SUBARU Care"
"SUBARU Park Assist 3D Display","3D-weergave SUBARU-parkeerhulp"
"SUBARU Park Assist Distance","Afstand SUBARU-parkeerhulp"
"SUBARU Parking Assist","SUBARU-parkeerhulp"
"SUBARU Parking Assist buzzer","Zoemer van SUBARU-parkeerhulp"
"SUBARU Parking Assist detection indicator","Indicatielampje SUBARU-parkeerhulpdetectie"
"SUBARU Parking Assist linked display","Weergave gekoppeld aan SUBARU-parkeerhulp"
"SUBARU Parking Assist monitor","Scherm voor SUBARU-parkeerhulp"
"SUBARU Parking Assist mute button","Toets voor het dempen van het geluid van SUBARU-parkeerhulp"
"SUBARU Parking Assist OFF","SUBARU-parkeerhulp UIT"
"SUBARU Parking Assist OFF indicator","Indicatielampje SUBARU-parkeerhulp UIT"
"SUBARU Parking Assist pop-up display","Pop-upscherm SUBARU-parkeerhulp"
"SUBARU Parking Assist sensor","SUBARU-parkeerhulpsensor"
"SUBARU Parking Assist sensor buzzer","Zoemer van SUBARU-parkeerhulpsensor"
"SUBARU Parking Assist sensor on/off","SUBARU-parkeerhulpsensor aan/uit"
"SUBARU Safety Sense","SUBARU Safety Sense"
"SUBARU Safety Sense software update","Update van SUBARU Safety Sense-software"
"Sudden start restraint control","Regeling om plotselinge bewegingen tegen te gaan"
"Suggestion function","Suggestiefunctie"
"Suitable forward facing fixture","Geschikt voor bevestiging naar voren gericht kinderzitje"
"Suitable junior seat fixture","Geschikt voor bevestiging van peuterzitje"
"Suitable rearward facing fixture","Geschikt voor bevestiging naar achteren gericht kinderzitje"
"Summary of the driving assist systems","Samenvatting van de rijhulpsystemen"
"Summary of the system","Overzicht van het systeem"
"Sun visors","Zonnekleppen"
"Sunshade","Zonnescherm"
"Supplemental mark exists","Onderbord aanwezig"
"Supply type","Voedingstype"
"Support sensitivity","Ondersteuningsgevoeligheid"
"Suspension ball joints and dust covers","Kogelgewrichten en stofkappen ophanging"
"Suspension of the settings display","Tijdelijke uitschakeling van de weergave van instellingen"
"Suspension parts","Onderdelen van de ophanging"
"Sweden","Zweden"
"switch","Schakelaar"
"Switching the display","Overschakelen van de weergave"
"Switching the door unlock function","Overschakelen van de functie voor portierontgrendeling"
"Switching the meter display","Overschakelen van de meterweergave"
"Switzerland","Zwitserland"
"Symbols","Symbool"
"Symbols in illustrations","Symbolen in afbeeldingen"
"Symbols in this manual","Symbolen in deze handleiding"
"Symptom","Symptoom"
"System component","Systeemcomponent"
"System components","Systeemonderdelen"
"System controls","Systeemregeling"
"System disabled","Systeem uitgeschakeld"
"System functions","Systeemfuncties"
"System maintenance","Onderhoud van het systeem"
"System operating conditions","Voorwaarden voor de werking van het systeem"
"System operation display","Weergave van de werking van het systeem"
"System overview","Systeemoverzicht"
"System overview of added service","Overzicht van toegevoegde diensten van het systeem"
"Table lamps","Tafellampen"
